ortho	qx	af	elegans
OG0000010	QX1410.g11931.1, QX1410.g14083.1, QX1410.g17241.1, QX1410.g20266.1, QX1410.g20301.1, QX1410.g20458.1, QX1410.g2276.1, QX1410.g2279.1, QX1410.g332.1, QX1410.g338.1, QX1410.g5977.2	CBG01499.1, CBG01505.1, CBG03775.1, CBG05838.1, CBG05886.1, CBG06055.1, CBG06058.1, CBG11770.1, CBG16863.1, CBG20198.1, CBG23439.1	B0035.10.1, E03A3.3.1, E03A3.4.1, F07B7.5.1, F08G2.3.1, F17E9.10.1, F22B3.2.1, F45E1.6.1, F45F2.13.1, F54C8.2.1, F54E12.1.1, F55G1.2.1, F58A4.3.1, K03A1.1.1, K06C4.13.1, K06C4.5.1, T10C6.13.1, W05B10.1.1, ZK131.2.1, ZK131.3.1, ZK131.7.1
OG0000011	NA	CBG13745.1	B0205.2b.1, C04C3.1.1, C08F11.9.1, C09G12.10.1, C09G12.11.1, C09G12.15.1, C09G12.16.1, C09G12.2.1, C09G12.3.1, C09G12.6.1, C17F4.10.1, C18D4.5.1, C32H11.2.1, C35D6.10.1, C35D6.13a.1, C35D6.9a.1, C39B5.1.1, C55A1.12.1, E03H12.6.1, F19B2.8.1, F20E11.1.1, F31E9.5.1, F40D4.9a.1, F46B3.11.1, F56D6.4.1, F56D6.5a.1, F56D6.7.1, F58E2.9.1, H12I19.1.1, H12I19.2.1, H12I19.7.1, K03D3.1.1, K03D3.11.1, K03D3.12.1, K03D3.4.1, W05E7.2.1, Y102A5C.25.1, Y57G7A.12.1, Y57G7A.7.1, Y68A4A.2.1, Y7A9C.7.1, Y7A9C.9.1
OG0000012	QX1410.g20270.1, QX1410.g20296.1, QX1410.g20462.1, QX1410.g2273.1, QX1410.g2278.1, QX1410.g2282.1, QX1410.g331.1, QX1410.g339.1, QX1410.g3466.1, QX1410.g6179.1	CBG01498.1, CBG01506.1, CBG03776.1, CBG05844.1, CBG05883.1, CBG06061.1, CBG10817.1, CBG19303.1, CBG23436.1, CBG23440.1, CBG23445.1	B0035.7.1, C50F4.13.1, F07B7.10.1, F07B7.3.1, F08G2.2.1, F17E9.13.1, F35H10.1.1, F45F2.4.1, F54E12.5b.1, F55G1.10.1, H02I12.7.1, K06C4.11.1, K06C4.3.1, T10C6.12.1, T23D8.6.1, ZK131.10.1, ZK131.6.1
OG0000013	NA	NA	B0462.3.1, C08F1.3.1, C30E1.5.1, F12E12.10.1, F12E12.7.1, F12E12.8.1, F12E12.9.1, F21D9.11a.1, F36H5.13.1, F36H5.17.1, F36H5.5.1, F36H5.8.1, F36H5.9.1, F45C12.13.1, F45C12.5.1, F55C9.1.1, F58E1.14.1, K05F6.1.1, K05F6.12.1, K05F6.14.1, K05F6.2.1, K05F6.3.1, K05F6.4.1, K05F6.5.1, K05F6.6.1, K05F6.7.1, K05F6.8.1, K05F6.9.1, M01D1.10.1, M01D1.7.1, M01D1.8.1, M01D1.9.1, T08E11.6.1, T26H2.2a.1, T26H2.4.1, W06A11.3.1, Y51H7BR.1.1, Y51H7BR.2.1
OG0000014	QX1410.g10677.1, QX1410.g10918.2, QX1410.g10919.1, QX1410.g10920.1, QX1410.g10953.1, QX1410.g11007.1, QX1410.g11064.1, QX1410.g11068.2, QX1410.g11090.1, QX1410.g11091.1, QX1410.g11092.1, QX1410.g11093.1, QX1410.g11117.1, QX1410.g11147.1, QX1410.g11154.1, QX1410.g11157.1, QX1410.g11171.1, QX1410.g11172.1, QX1410.g11194.1, QX1410.g11196.1, QX1410.g11204.1	CBG10279.1, CBG10283.1, CBG10347.1, CBG17057.1, CBG19527.1, CBG20453.1, CBG20948.1, CBG20950.1, CBG21869.1, CBG23658.1, CBG23830.1, CBG24226.1, CBG24449a.1, CBG24810.1, CBG30915.1	NA
OG0000015	QX1410.g20269.1, QX1410.g20297.1, QX1410.g20461.1, QX1410.g2274.1, QX1410.g2277.1, QX1410.g2281.1, QX1410.g330.1, QX1410.g3467.2, QX1410.g6178.1	CBG01507.1, CBG05840.1, CBG05843.1, CBG05884.1, CBG06060.1, CBG10818.1, CBG19304.1, CBG23437.1, CBG23441.1, CBG23444.1, CBG26907.1	B0035.8.1, C50F4.5.1, F07B7.11.1, F07B7.4.1, F08G2.1.1, F17E9.9.1, F35H10.11.1, F45F2.12.1, F54E12.4.1, F55G1.3.1, H02I12.6.1, K06C4.12.1, K06C4.4.1, T10C6.11.1, ZK131.5.1, ZK131.9.1
OG0000016	NA	NA	C32B5.10.1, C32B5.14a.1, C32B5.16.1, C32B5.17b.1, C32B5.18.1, C32B5.4.1, C32B5.5a.1, C32B5.9.1, C44C8.1.1, C44C8.10.1, C44C8.2.1, C44C8.3.1, C44C8.4.1, C44C8.7.1, C44C8.8.1, C44C8.9.1, F42G2.3.1, F45D11.9.1, F58E1.10.1, F58E1.11.1, F58E1.12.1, F58H7.7.1, F58H7.8.1, K09F6.8.1, R07C3.10.1, R07C3.11a.1, R07C3.15.1, R07C3.2a.1, R07C3.5.1, R07C3.6.1, R07C3.7.1, R07C3.8.1, R07C3.9.1, T08E11.5.1, Y27F2A.5.1, Y46B2A.1.1
OG0000017	QX1410.g20267.1, QX1410.g20300.1, QX1410.g20459.1, QX1410.g2275.1, QX1410.g2280.1, QX1410.g333.1, QX1410.g337.1, QX1410.g5978.1	CBG01500.1, CBG01504.1, CBG03774.1, CBG05839.1, CBG05842.1, CBG05885.1, CBG06056.1, CBG06059.1, CBG19306.1, CBG23438.1, CBG23443.1	B0035.9.1, C50F4.7.1, F07B7.9.1, F17E9.12.1, F22B3.1.1, F45F2.3.1, F54E12.3.1, F55G1.11.1, K03A1.6.1, K06C4.10.1, K06C4.2.1, T10C6.14.1, T23D8.5.1, ZK131.1.1, ZK131.4.1, ZK131.8.1
OG0000018	NA	NA	B0454.7.1, C03H5.1.1, C35D10.14.1, C35D10.15.1, C41H7.7.1, C54C8.7.1, E03H4.10.1, F10G2.3.1, F36H5.6.1, F49A5.2.1, F49A5.3.1, F49A5.4b.1, F49A5.5a.1, F49A5.7.1, F49A5.9.1, F56H6.8.1, H16D19.1.1, T07D10.4.1, T07H3.4.1, T07H3.5.1, T20B3.12.1, T20B3.13.1, T20B3.15.1, T20B3.16.1, T25E12.10.1, T25E12.7.1, T25E12.8.1, T25E12.9.1, T27F6.2.1, Y102A5B.1.1, Y102A5B.2b.1, Y102A5B.3.1, Y38E10A.4.1, Y38E10A.5.1, Y70C5C.2.1
OG0000019	NA	NA	C08F1.4a.1, C08F1.5.1, C16C4.10.1, C16C4.11.1, C16C4.12.1, C16C4.13.1, C16C4.14.1, C16C4.15.1, C16C4.3.1, C16C4.4b.1, C16C4.5.1, C16C4.8.1, C40A11.1.1, C40D2.1.1, C40D2.2.1, C40D2.3.1, C46F9.1a.1, C46F9.2.1, C46F9.3.1, C46F9.4.1, C46F9.6.2, F36H5.1.1, F36H5.14.2, F36H5.3b.1, R52.9.1, T08E11.2.1, T08E11.3.1, T08E11.4.1, T16A1.1.1, Y16E11A.1.1, Y16E11A.4.1, Y51H7BM.1.1, ZK250.14.1, ZK250.6.1, ZK250.7.1
OG0000020	QX1410.g2663.1	CBG09709.1	C31B8.3.1, C49G7.2.1, D1054.12.1, F20E11.12.1, F26D2.4.1, F36D3.6.1, F40D4.1.1, F40D4.3.1, F57E7.3.1, F57G8.1.1, F57G8.3a.1, F58E10.6.1, K02E2.3.1, K08G2.12b.1, K08G2.13.1, K08G2.5.1, R08H2.3.1, T01E8.7.1, T08G3.12.1, T08G3.3.1, T08G3.5.1, Y38H6C.12.1, Y60A3A.3.1, Y60A3A.4a.1, Y60A3A.5.1, Y60A3A.6.1, Y6E2A.6.1, Y70C5C.4.1, ZK228.5.1, ZK228.6.1, ZK228.7.1, ZK228.8.1
OG0000021	NA	NA	B0281.4.1, B0281.5a.1, B0281.6.1, C17F4.11.1, C17F4.8.1, C40A11.2.1, C40A11.3.1, C40A11.4.1, C40A11.6.1, C40A11.7.1, F22E5.11.1, F22E5.12.1, F22E5.13.2, F22E5.23.1, F22E5.6.1, F22E5.8.1, F58E1.13.1, K02E7.4.1, K02F6.5.1, K02F6.6.1, K02F6.8.2, T05E12.3.1, T08G3.13.1, ZC239.12.1, ZC239.13b.1, ZC239.14.1, ZC239.15.1, ZC239.16.1, ZC239.17.1, ZC239.3.1, ZC239.4.1, ZC239.5.1, ZC239.6.1
OG0000022	QX1410.g12633.1, QX1410.g12634.1, QX1410.g12710.1, QX1410.g12711.1, QX1410.g16456.1, QX1410.g16457.1, QX1410.g16786.1, QX1410.g18840.1, QX1410.g5066.1, QX1410.g5071.1, QX1410.g5180.1, QX1410.g9121.1	CBG00457.1, CBG13144.1, CBG13232.1, CBG13233.1, CBG13234.1, CBG14829.1, CBG18239.1, CBG18240.1, CBG19474.1, CBG19479.1, CBG19481.1, CBG22024.1, CBG26756.1, CBG29122.1	C12C8.1.1, C15H9.6a.2, F26D10.3.1, F43E2.8a.2, F44E5.4.1, F44E5.5.1
OG0000023	QX1410.g10032.1, QX1410.g11197.1, QX1410.g11376.1, QX1410.g1143.1, QX1410.g13915.1, QX1410.g14005.1, QX1410.g1509.1, QX1410.g15514.1, QX1410.g16026.1, QX1410.g16651.1, QX1410.g17003.1, QX1410.g18067.1, QX1410.g1823.1, QX1410.g1929.1, QX1410.g2038.1, QX1410.g21575.1, QX1410.g301.1, QX1410.g3549.1, QX1410.g397.1, QX1410.g398.1, QX1410.g4412.1, QX1410.g5051.1, QX1410.g5058.1, QX1410.g5313.1, QX1410.g5564.1, QX1410.g5565.1, QX1410.g7284.1, QX1410.g8474.1, QX1410.g856.1, QX1410.g8638.1, QX1410.g971.1	NA	NA
OG0000024	QX1410.g10764.1, QX1410.g10911.1, QX1410.g11496.1, QX1410.g12142.1, QX1410.g12364.1, QX1410.g13030.2, QX1410.g13315.1, QX1410.g13767.1, QX1410.g15974.1, QX1410.g18211.1, QX1410.g18498.1, QX1410.g18803.1, QX1410.g18807.1, QX1410.g18818.1, QX1410.g18830.1, QX1410.g19012.1, QX1410.g19683.1, QX1410.g20190.1, QX1410.g20677.2, QX1410.g21190.1, QX1410.g21598.1, QX1410.g2440.1, QX1410.g2565.1, QX1410.g3601.1, QX1410.g6001.1, QX1410.g6429.1, QX1410.g6674.1, QX1410.g6675.1, QX1410.g869.1	CBG10266.1	Y113G7B.12.1
OG0000025	QX1410.g2450.1, QX1410.g3932.1, QX1410.g3933.1, QX1410.g3934.1, QX1410.g3935.1, QX1410.g3946.1, QX1410.g3947.1, QX1410.g3949.1, QX1410.g3950.1, QX1410.g671.1, QX1410.g674.1, QX1410.g675.1, QX1410.g897.1, QX1410.g898.1, QX1410.g899.1, QX1410.g900.1	CBG04695.1, CBG04696.1, CBG04698.1, CBG04709.1, CBG04710.1, CBG10502.1, CBG10503.1, CBG10504.1, CBG10505.1, CBG23602.1, CBG23606.1, CBG24987.1, CBG24988.1, CBG24989.1, CBG31217.1	NA
